midx,title,percent,director,actors,genre,release_date,rating,story,image_url,reviews,male_pct,female_pct,OST,감독연출,스토리,영상미,배우연기,스트레스 해소,현실감,긴장감,몰입감,무서움,즐거움,공감,감동,상상력,유쾌함,영감 자극
89454,야당,23.2%,황병국,"강하늘, 유해진, 박해준, 류경수, 채원빈","범죄, 액션",2025.04.16,청소년관람불가,"대한민국 마약 수사의 뒷거래모든 것은 야당으로부터 시작된다!누명을 쓰고 교도소에 수감된 이강수(강하늘)는검사 구관희(유해진)로부터 감형을 조건으로 야당을 제안받는다.강수는 관희의 야당이 돼 마약 수사를 뒤흔들기 시작하고,출세에 대한 야심이 가득한 관희는굵직한 실적을 올려 탄탄대로의 승진을 거듭한다.한편, 마약수사대 형사 오상재(박해준)는수사 과정에서 강수의 야당질로 번번이 허탕을 치고,끈질긴 집념으로 강수와 관희의 관계를 파고든다.마약판을 설계하는 브로커 강수,더 높은 곳에 오르려는 관희, 마약 범죄 소탕에 모든 것을 건 상재.세 사람은 각자 다른 이해관계로 얽히기 시작하는데…",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89454/89454_320.jpg,"영화속 온갖 범죄가 현실과 차이 없는듯 하네요ㅠㅠ 영화는 볼만합니다^^ / 답답한 요즘 사이다 한 잔 마신 느낌 / 긴장감에 반전에 시간가는줄 모르고 재밋게 봤어요. / 올해 본 영화 중에서 역대 최고 / 전개속도도 빠르고 재밌음. / 볼만합니다 .현실속 범죄,마약,비리...",50.3,49.7,12,42,59,22,87,35.0,33.0,39.0,63,19.0,,,,,,
89513,마리아,2.2%,파블로 라라인,"안젤리나 졸리, 피에르프란체스코 파비노, 알바 로르와처",드라마,2025.04.16,15세이상관람가,"“준비가 끝나면 언제든 다시 노래할 거예요”음악이 인생의 전부였고무대가 존재의 이유였던세기의 프리마돈나, 불멸의 소프라노,마리아 칼라스가 오로지 자신만을 위해 준비한마지막 무대",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89513/89513_320.jpg,좋았어요좋았어요좋았어요 / 그래도 예술을 놓치 않는 열정. / 역시 예술가는 외롭다. / 아 이런 뒷 이야기가 있었군요.ㅜㅜ / 실존인물과 이미지가 너무 비슷~ 연기 ㅎㄷㄷ임 왜 여우주연상을 안줬지?? / 화려한 생활 이후 고통의 나날들,44.5,55.5,54,41,38,50,84,8.0,,,69,,30.0,38.0,41.0,,,
89485,승부,1.9%,김형주,"이병헌, 유아인, 고창석, 현봉식, 김강훈, 문정희, 조우진",드라마,2025.03.26,12세이상관람가,"세계 최고 바둑 대회에서 국내 최초 우승자가 된 조훈현.전 국민적 영웅으로 대접받던 그는 바둑 신동이라 불리는 이창호를 제자로 맞는다.“실전에선 기세가 8할이야”제자와 한 지붕 아래에서 먹고 자며 가르친 지 수년.모두가 스승의 뻔한 승리를 예상했던 첫 사제 대결에서조훈현은 전 국민이 지켜보는 가운데, 기세를 탄 제자에게 충격적으로 패한다.오랜만에 패배를 맛본 조훈현과 이제 승부의 맛을 알게 된 이창호조훈현은 타고난 승부사적 기질을 되살리며 다시 한번 올라갈 결심을 하게 되는데…",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89485/89485_320.jpg,"스토리 전개가 좋았어요 / 두번 보고싶은 영화. 바둑 1도 모르지만, 심지어 이병헌 유아인을 별로 좋아하지 않지만 이 영화보고나서 이병헌 유아인을 배우로서 인정하게 됨. 연기 잘하는 배우들 인줄이야 익히 알았지만 반잔한 스토리임에도 이병헌 유아인 정말 대단한 연기파 배우네요. 이런 사람들이 배우해야함. / 보고싶었는데 너무 늦게 바버림ㅠ 바둑 룰은 잘 모르지만 배우님들의 연기때문인지 몰입이 잘 되고 이해가 잘되써요~재밌고 감동적인 스승과 제자 얘기 잘보고 갑니당ㅎ / 역시 연기파 배우들 믿고 봤어요 / 배우들 연기력 대결에 숨막혔네요 그것만으로도 볼만했어요 / 청출어람의 영화, 스승과 제자의 바둑시합이 압권이 영화. 실화를 근거로한.. 진지한 승부가 재밌었다",52.8,47.3,15,41,53,24,91,18.0,,,72,,26.0,38.0,37.0,,,
89549,사유리,1.3%,시라이시 코지,"미나미데 료카, 네기시 토시에, 콘도 하나, 카지와라 젠, 우라베 후사코, 키타로, 모리타 코코로, 이노마타 레이오",호러,2025.04.16,15세이상관람가,꿈에 그리던 집으로 이사 온 카미키 가족.하지만 행복한 시간도 잠시 어디선가 들려오는 기괴한 웃음소리와 함께가족들이 차례로 죽음을 맞이한다.이제 남은 사람은 치매에 걸린 할머니와 중3 손자.두 사람은 모든 일들이 이 집에 살았던 소녀 사유리 때문인 걸 알게 되고이들의 살아남기 위한 각성과 반격이 시작된다.,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89549/89549_320.jpg,"좋아요,다시보고픈그런영~~~ / 호러, 코미디, 드라마 장르를 태극권 돌리듯 / 너무너무 무서웠습니다! / 소재나 아이디어는 평범하지만 호러적인 부분은 좋았음 / 영화 사유리 봤습니다. / 잘봤습니다잘봤습니다",54.6,45.4,19,33,45,22,47,19.0,19.0,39.0,46,42.0,,,,,,
84818,은혼 더 파이널,1.1%,미야와키 치즈루,"스기타 토모카즈, 사카구치 다이스케, 쿠기미야 리에, 이시다 아키라, 코야스 타케히토",애니메이션,2025.04.18,15세이상관람가,"사무라이의 영혼을 건, 최후의 난리법석이 시작된다!해결사 긴토키 일행이 뿔뿔이 흩어진 지 2년 후,지구 멸망을 향한 카운트다운이 시작된다.부활한 ‘우츠로’를 막기 위해긴토키 3인방과 예전의 동료들, 라이벌들까지 모두 합세하는데.모두의 운명을 건 최후의 결전!복근과 눈물샘을 파괴하는 美친 연출!SF판타지 대환장 블록버스터은혼, 그 마지막 이야기",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000084/84818/84818_320.jpg,"은혼의 장르는 은혼이라는 걸 다시 실감했다 울다가도 웃고.. 모든게 무너져도 다시 일어서는 모습이 감동이었다 / 최고의 결말, 삼젯이 너무너무 기대됨 / 이 영화를 스크린으로 보다니...너무좋다 / 은혼 극장판. 마무리~♡ 은혼 해결샤는 끝나지 않았다~잉 언제나 당신의 눈물을 닦아준다^♡^ 엔딩곡 끝 나고 쿠키영상은 에휴~♡ / 진짜 최고ㅠㅠㅠ 마지막까지 완벽했다 / 은혼 더파이널 최고 진짜 극장가서 보기 너무 잘했다",11.9,88.1,56,47,65,47,45,,,,42,,,21.0,35.0,50.0,60.0,
89362,브리짓 존스의 일기: 뉴 챕터,0.7%,마이클 모리스,"르네 젤위거, 휴 그랜트, 엠마 톰슨, 치웨텔 에지오포, 레오 우달","코미디, 로맨스, 멜로",2025.04.16,15세이상관람가,"4년 전, 사랑하는 남편 ‘마크 다시’를 잃고 싱글맘으로 살아가던 ‘브리짓 존스’정체된 그녀의 삶을 걱정하는 주변인들의 권유와 압박으로데이팅 앱에서 매력적인 연하남과 만나 오랜만에 설레는 사랑의 감정을 되찾는 한편방송국에도 복직해 일과 가정, 로맨스를 병행하게 된다.고군분투하며 최선을 다하지만  연하남과의 연애도, 직장 생활도, 아이들과의 관계도모든 것이 쉽지 않은 상황 속에서 ‘브리짓’은 무엇이 정말 자신을 위한 삶인지 고민하게 되는데…누군가의 아내, 누군가의 엄마가 아닌 다시 브리짓!",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89362/89362_320.jpg,"브리짓! 당신의 남자 운빨에 박수를 !! 도시 괴담 , 동화 같은 이야기 / 시리즈의 마지막을 장식하기에 더없이 완벽하네요 여전히 사랑스러운 브리짓과 계속 곁에 있는 친구들 아이들까지 브리짓이 꿈꿔온 것들이 다 이루어진 듯해서 참 뿌듯했습니다 쿠키는 아니지만 크레딧 올라갈 때 예전 시리즈 장면도 나오니 놓치지 마세요 / 진짜 인생 시리즈.. 이번 작품 너무 따뜻하고 더 좋아요:-) 잔잔하게 눈물나고 오랫동안 기억날 작품 / 아주 재미있게 봤습니다 / 메이블 역할 연기 잘함 통통튐 / 브리짓 존스의 일기의 마지막을 잩식한것같네요 그동안 브리짓과 함께 선장해온기분 마크가 죽어 아쉽네요",25.8,74.2,37,36,61,34,84,17.0,,,43,,,58.0,51.0,,75.0,
82120,탑건-매버릭,0.6%,조셉 코신스키,"톰 크루즈, 마일즈 텔러, 제니퍼 코넬리",액션,2023.11.15,12세이상관람가,"한순간의 실수도 용납되지 않는 하늘 위,가장 압도적인 비행이 시작된다!최고의 파일럿이자 전설적인 인물 매버릭(톰 크루즈)은 자신이 졸업한 훈련학교 교관으로 발탁된다.그의 명성을 모르던 팀원들은 매버릭의 지시를 무시하지만 실전을 방불케 하는 상공 훈련에서 눈으로 봐도 믿기 힘든 전설적인 조종 실력에 모두가 압도된다.매버릭의 지휘아래 견고한 팀워크를 쌓아가던 팀원들에게 국경을 뛰어넘는 위험한 임무가 주어지자매버릭은 자신이 가르친 동료들과 함께 마지막이 될 지 모를 하늘 위 비행에 나서는데…",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000082/82120/82120_320.jpg,다시 봤는데도 엄청 재미있게 봤음 스토리가 복잡하지 않아서 편하게 볼 수 있었고 적절한 긴장감과 공중전들이 좋았음 중간중간 삽인된 음악도 좋았고 전반적으로 그리운 옛날 할리우드 감성이었음 진부하다는 얘기는 절대 아님 8/10 / 영화관에서의 그 감동을 또 느끼고 싶어서 재개봉할때까지 넷플로도 안 보고 버틴 보람이 있네요 진짜레전드 / 다시 봐도 믿기지 않는 영화적 체험! / 기다렸다 극장에서 보길 잘했다 / 코ㅓ투터캌ㅋ마마우우으이잉 / 관객의 니즈를 잘 잡은 영화. 짜릿하게 재밌었음,49,51,47,53,56,76,79,56.0,,56.0,77,,53.0,,57.0,,,
89450,플로우,0.6%,긴츠 질발로디스,"고양이, 골든 리트리버, 뱀잡이수리, 여우원숭이, 카피바라",애니메이션,2025.03.19,전체관람가,"파도가 끝나는 곳,고양이의 모험이 시작된다!인간이 살았던 흔적만이 남아있는 세상,홀로 집을 지키던 '고양이'는 갑작스러운 대홍수로평화롭던 일상과 아늑했던 터전을 잃고 만다.때마침 다가온 낡은 배에 올라탄 '고양이'는그 안에서 '골든 리트리버', '카피바라','여우원숭이', '뱀잡이수리'를 만나고서로의 차이점을 극복하고팀을 이뤄 험난한 파도를 헤쳐나간다.",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89450/89450_320.jpg,겁먹고 부딪히고 모험하며 성장하는 것 / 귀여운 동물애니메이션인줄알고 보러갔더니 내용이 굉장히 철학적이었습니다... 수미상관 참선 / 아이들이 재미있다고하네요 / 귀엽고 짠하고 귀엽고 짠하고 귀엽고 짠하고. / 고양이가 위기에 처할 때에 영상과 음악이 긴박하게 어우러져서 영화 내내 가슴졸이며 봤습니다. 전체적으로 볼거리가 풍성한 영화네요. 동물들이 귀엽고 대사가 없는 거 치고는 상당히 스토리가 이해가 잘 갔지만 마지막 장면은 어떤 의미인지 잘 이해가 안 가긴 했어요. 그래도 재밌게 봤습니다. / 말통하는 인간들 보다 훨씬 나은 그들의 세계,36.1,63.9,37,58,59,86,30,,,,65,,,38.0,49.0,50.0,30.0,
89517,베러맨,0.4%,마이클 그레이시,"로비 윌리엄스, 조노 데이비스, 스티븐 펨버튼, 앨리슨 스테드맨",드라마,2025.04.09,15세이상관람가,"“나는 나를 넘어선다”더 나은 나, IT’S SHOWTIME어릴 때부터 노래에 남다른 재능을 보인 로비는보이밴드 ‘테이크 댓’으로 데뷔해 영국 전역에서 최고의 인기를 누린다.하지만 인기가 커질수록 각종 사건사고로 멤버들과 갈등을 빚고 결국 팀을 탈퇴한다.화려한 솔로 복귀에 성공하지만, 내면의 상처와 불안은 점점 커져만 간다.로비는 ‘더 나은 나’가 되기 위한 싸움을 시작하는데...<위대한 쇼맨>감독의 뮤직 판타지비틀즈 이후 가장 성공한 슈퍼스타가 온다!",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000089/89517/89517_320.jpg,"Supreme이 안 나온 게 아쉽지만 역시 로비 노래는 좋아요 / 긴 러닝타임에 꽉꽉 찬 음악들이 누군가에게는 극호이겠지만 누군가에게는 지루했을듯 하다 / 노래 연출 다 좋았는데 원숭이가 너무 리얼해서 보는데 좀 거북했음...불쾌한 골짜기... 그리고 주인공이 이렇게 비호감인 성격은 처음이라 뭔가 감정이입이 잘 안됨ㅠ 특전 가사집이랑 티켓 너무 좋음 / 원숭이 CG는 도저히 이해가지 않는다. 비용 상승, 불쾌한 골짜기 등.. / 잘봤어요~잘봤어요~ / 연출 노래는 좋은데... 개인의 아픔이 크게 공감이 안 되고.. 유인원 외모가 별루 ㅜ",46.2,53.8,61,36,37,41,47,21.0,,,52,,35.0,23.0,29.0,,,
88076,위키드,0.4%,존 추,"아리아나 그란데, 신시아 에리보, 조나단 베일리, 에단 슬레이터, 양자경, 제프 골드브럼","환타지, 뮤지컬",2024.11.20,전체관람가,"자신의 진정한 힘을 미처 발견하지 못한 '엘파바'(신시아 에리보)자신의 진정한 본성을 아직 발견하지 못한 ‘글린다'(아리아나 그란데)전혀 다른 두 사람은 마법 같은 우정을 쌓아간다.그러던 어느 날, '마법사'의 초대를 받아 에메랄드 시티로 가게 되고운명은 예상치 못한 위기와 모험으로 두 사람을 이끄는데…마법 같은 운명의 시작, 누구나 세상을 날아오를 수 있어",https://img.cgv.co.kr/Movie/Thumbnail/Poster/000088/88076/88076_320.jpg,"3회차 뮤지컬의 정석..back to the reality / 영상미 그거 하나만으로도 충분히 볼 가치가 있는 작품 / 다시 봐도 너무 인생영화예요~ / 두번째 관람인데 너무 재밌었어요 / 훌륭한 프리퀄. 잘 만들었다 / 마녀는 마녀가 아니고, 마법사도 마법사가 아니다!!! 2편이 기대되요",32.8,67.2,72,41,49,73,65,21.0,,13.0,59,,51.0,,45.0,,,
